year,grade,sub,group,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
1992,4,"math","blk",1.087271,9999,.94700277,1.0757381,1.1398649,1.0025206,1.4706609,1.075799,1.9687431,1.2145419,1.1641767,.57643259,9999,9999,1.1315335,1.2519175,9999,.60345852,1.1435509,9999,1.1166466,1.3348231,1.448177,1.2546124,1.0846303,1.1746804,9999,1.3878696,9999,9999,1.4756297,.82250768,1.1259148,1.0755557,9999,.97422183,.92830122,9999,1.3268626,1.0461341,1.1481454,9999,.96600807,1.117578,9999,9999,1.0608846,9999,.50172174,1.3978043,1.0711726
1996,4,"math","blk",1.1574454,.94938469,1.1643027,1.1743342,1.2811673,1.2302351,1.289904,1.1022009,2.1857102,1.223671,.82022423,.61610305,9999,9999,1.1100484,.98176175,9999,.72860128,1.1111286,9999,1.1683897,1.0323426,1.2465769,1.3643796,1.0576065,1.1731912,9999,1.1899706,1.0544741,9999,1.3733971,.80797452,1.0533297,1.112389,.51997298,1.0808956,.9731155,.24967748,1.3689005,1.1021866,1.0008976,9999,1.0055356,1.1031885,9999,.41234416,1.0117017,.93495524,.70516413,1.4122869,.67340088
2000,4,"math","blk",.97493953,.86266215,.9189117,1.057261,1.2778785,1.0911415,1.2778908,1.0318467,2.1876163,1.1584091,.96234047,.7644763,9999,1.2811202,.9649986,.81537586,1.2330171,.96430343,1.016712,.58559418,1.2169462,1.1842152,1.4283682,1.068545,1.049843,1.2874192,9999,1.2423501,.73269904,9999,1.273162,.85231143,1.1578709,.94269657,.258946,1.1875694,1.0179298,.88078171,1.2680868,1.1554545,1.1461725,9999,.99853021,.95575362,.65832335,.53049848,1.1787205,.8270101,.83996141,1.3653055,.63681272
2003,4,"math","blk",.97913945,.79762024,.95556599,1.2128129,1.0370263,.98682129,1.3312756,.97908103,2.3016534,1.1094627,.91113937,.5948261,.6310147,1.295399,1.1116223,1.054998,1.1051959,.63134408,1.2100275,.69441885,1.013988,1.0716833,1.3614945,1.0223535,1.0303797,.99492472,9999,1.2250168,.83177936,.64941263,1.1979856,.80972481,1.0908574,1.1362369,.79815406,1.0744691,.99676144,.59247094,1.1924765,1.1059142,.96585566,.91033769,1.0411912,.94878513,.72756135,.61911422,.9644326,.74605125,.40546694,1.3300694,.6093716
2005,4,"math","blk",.9233343,.6944738,.93884212,1.0780798,1.0664835,.91680485,1.3072387,1.0156851,2.4025443,.92414045,.90279102,.79695249,.45574665,1.2422076,.97271276,.75108576,.80528599,.65378624,.95629525,.38099253,1.1228902,1.0652595,1.3375766,1.1973897,.99545741,.99549919,.72640568,1.2848229,.97396785,.32365066,1.0598733,.98941177,1.0473334,1.0333754,.60028028,1.0591823,.9102425,.80772972,1.0775933,1.1257195,1.1139464,.55799019,.9628216,1.1443805,.55238712,.44170633,.97268313,.62054724,.21557482,1.4408454,.04627479
2007,4,"math","blk",.9505651,.7870571,1.0048994,1.0787793,1.0246046,.93431103,1.2251532,.90129119,1.7395861,1.0809302,.9760043,.50119668,.47114938,1.2733893,1.0413786,.80764174,1.0147961,.70976776,.85023904,.78023916,1.0699413,1.0390537,1.060168,1.1445701,.94758481,1.0437192,.30900067,1.2332879,.87193984,.85176015,.95566934,.80032784,1.0565119,1.1353171,.90110856,1.0065374,.92329562,.7565977,.98386222,.84064525,1.0122253,.9970445,1.0537573,.99058914,.54009676,.67725676,.97104013,.9527939,.52531707,1.4228442,.55585271
2009,4,"math","blk",.98356307,.93119425,.750287,1.0643675,1.0893787,.94076085,1.2325292,.97930104,2.1623442,.92001283,.99158937,.47351053,.65378267,1.2229062,1.0347784,.81837982,1.053741,.7951026,.97489947,.55826831,1.0430293,.9413951,1.147923,.99857455,1.0644941,.85401791,.10470791,1.2299142,1.0687509,.58453298,1.1523147,.78035045,.90305245,1.1167819,.99789792,1.0994304,.81198102,.70917022,1.0132236,.97060353,.94507319,.92295909,1.0293397,1.0027231,.89193392,.74392253,1.0549456,.69814795,.32998869,1.2590289,.63779014
2011,4,"math","blk",1.0007609,.90443683,.75805521,.94706023,1.0112792,1.0813905,1.2750955,.96669698,2.0942593,.95266938,.95658982,.53375804,.65244991,1.0822667,1.0324662,.83480221,1.0188049,.68194258,.91147357,1.2335331,1.0811598,.99677002,1.1694156,1.0893301,.95075864,1.0829684,.52327329,1.3223034,.75361109,.75667638,1.0687525,.78161734,.84774846,1.080699,.96381128,.90328133,.836716,.952748,1.0586227,.88339674,1.1033608,.76001889,.81535286,.92672509,.86548805,.8293308,.92641282,.83367085,.28388786,1.3014987,.47955942
2013,4,"math","blk",1.0383456,.78716284,.79226297,.88389033,.96404713,1.0575606,1.3088042,.93793917,1.9741911,.91342449,.87321883,.70412529,9999,.97147644,.9484033,1.1039562,.85910267,.737432,.85746711,.71820831,1.143916,1.0500646,1.1216846,.95288694,.94152564,.95684028,9999,1.2898211,.86419988,9999,.95194739,.68622887,.91221392,.94281709,.39778233,1.1147215,.99921316,.85832745,.90910465,.94784123,.93289554,1.0190508,.92940807,.97758818,9999,9999,.89198238,.72363043,.33990246,1.289542,9999
1992,4,"math","hsp",9999,9999,.80535203,9999,.93239748,.8087101,1.2609946,1.4119455,1.8404169,.60794276,1.0024729,.58249736,.90294582,9999,.64641303,.51935267,9999,9999,.63796532,9999,.72248441,1.298633,.66230506,.74249291,9999,9999,9999,.86131263,9999,9999,1.2239813,.77691644,1.0898761,.26640806,9999,.44311246,.65742952,9999,1.0779614,1.2835292,9999,9999,9999,.80931145,.67456526,9999,.42769384,9999,9999,.89249086,.45616746
1996,4,"math","hsp",9999,.71232778,.97308075,9999,.97725976,.82146865,1.3525091,1.1015791,1.630739,.62946081,.70484781,.50785404,.86006752,9999,.87963885,.79076385,9999,9999,.66175234,9999,.6233508,1.0401989,.87703985,.81893998,9999,.23824088,.41661677,1.0549161,.75276989,9999,1.1940565,.81618369,1.0609028,.95581394,.54549247,.35403167,.62733769,1.0117018,1.121621,1.2246364,9999,9999,9999,.91169322,.86613566,9999,.56829333,.83743578,9999,.84617311,.62069303
2000,4,"math","hsp",.77620786,.59893948,.87778282,.6162557,.99112868,.9203627,1.249732,.92692264,1.6298813,.51527507,.58572292,.70287818,.81718922,.81967938,.54399073,.8619408,.81101167,9999,.43047199,9999,.78572726,1.2296542,.97504669,1.1066641,9999,.37519899,1.0449493,.9494347,.68567276,9999,1.0432739,.69611901,1.2602792,.62315482,.7963106,.26495087,.59724587,.77836877,1.074708,1.3281766,.34390441,9999,.1641252,.7864033,.89668471,9999,.62370259,.77039782,9999,.85929849,.69971204
2003,4,"math","hsp",.62218028,.51389825,.93285793,.6199224,1.0444884,.99453324,1.0174892,.79593033,2.114536,.42963576,.80125731,.6758033,.83393443,.98132509,.62683749,.80993181,.66894907,.22726843,.33312163,9999,.59199631,1.0472081,.83031189,.99102247,9999,.90028447,.14710166,1.1314633,.81100786,.7375766,.93018687,.81750363,.9856627,.64680254,.9894563,.82058561,.62858397,.80122411,1.0395232,1.1809695,.53238618,.68008757,.70243204,.74530101,.87115848,.07952207,.65538937,.72011936,9999,.86914253,.60380578
2005,4,"math","hsp",.8603791,.62575531,.89367813,.51321858,.95880622,.9158408,1.0824912,.89004505,2.0227392,.54843223,.55455106,.67721623,.79283601,.9628709,.62107682,.77344322,.61192191,.64743727,.23006819,9999,.6911788,1.1722521,.8246485,1.1145772,.49038684,.78227937,.37419379,1.0657663,.78706992,.84004289,.84450942,.74299949,.88464105,.68210906,.52054751,.7715345,.5794335,.94579357,.98415095,1.1063483,.59458894,.8340506,.33843526,.83216161,.89520782,.25989813,.67493737,.86511898,9999,.94179434,.38342524
2007,4,"math","hsp",.72337526,.60116076,.98317915,.61295503,1.0438776,.92960155,1.1127521,.70129204,1.3746872,.52608365,.66736269,.69933856,.80090606,.92203736,.64909017,.59052747,.73449951,.62999409,.25441819,.6886577,.69312382,1.1355615,.52132142,.91018915,.60994667,.44743335,.21944484,.89578837,.77015972,.70089775,.85514325,.79155564,.82554257,.71933967,.60394949,.72419298,.58815479,.90134054,.68506712,.82192123,.74717098,.71179605,.687581,.74103814,.90256119,.44027418,.66294914,.88688445,.4094283,.78885329,.68178988
2009,4,"math","hsp",.67071384,.63595545,.83432692,.50523174,1.0191284,.86770439,1.0704485,.76736689,1.5931547,.51775867,.60696214,.57132375,.76203686,.82379168,.67095888,.87030768,.77989763,.51609749,.41365749,.23237781,.69025695,1.0762441,.62027049,.86306596,.46338806,.28036648,.26681283,.86718869,.73793948,.72029883,.99030358,.81002414,.67549759,.75885797,.57609916,.71449208,.51961076,.81188208,.8312692,1.0358472,.48109895,.53034437,.51532269,.89221144,.96404868,.61589745,.69640017,.77675509,.28116545,.84407598,.57316673
2011,4,"math","hsp",.55054957,.34423694,.74598056,.45544118,1.104308,.8821522,1.1347684,.76784629,1.78693,.54804283,.58521014,.39650452,.79848975,.8349632,.54001701,.65533108,.73951519,.26775289,.51916748,.56962031,.49202463,.89172423,.5492655,.88529694,.44155872,.59880543,.45202535,.82514715,.68930387,.7018376,.91575551,.70096904,.73180228,.66152966,.69736433,.67411685,.6445213,.82869232,.98491645,.90853584,.60296595,.82297081,.43369648,.79892349,.9151907,.79152071,.57338351,.83034611,.04675953,.90739459,.43887642
2013,4,"math","hsp",.51690054,.52346766,.68734807,.43751389,.90866226,.84747964,1.101795,.72485352,1.7410975,.46680158,.53080964,.39944887,.69643152,.64755148,.40895712,.55782557,.58151656,.36494705,.40740639,9999,.8382504,.9265191,.60839421,.87274808,.48793691,.44167086,.42929727,.89159453,.57103205,.69767189,.76004159,.56184226,.72186303,.60754192,.51065117,.55091071,.64446765,.70804304,.74925423,.85158145,.64938194,.89118779,.66752636,.79696304,.95682478,9999,.6001147,.8001008,9999,.89598352,.5830276
1992,4,"read","blk",.9222464,9999,.65440679,.90866196,.92340797,.6726284,1.186247,.83587247,1.8382773,.98399627,.85532725,.2035235,9999,9999,.82721919,.61432385,9999,.58264351,.85576427,9999,.85661435,.92082459,1.141379,1.0507476,.98284096,.96987569,9999,.96123296,9999,9999,1.1793292,.67194891,.86465961,.77690709,9999,.74760884,.80142641,9999,1.1565951,.9901855,.86646438,9999,.83305639,.82757616,9999,9999,.85896939,9999,.56328261,.98194188,9999
1994,4,"read","blk",.93931645,9999,.78234559,.99889898,.82761312,.80924278,1.2313436,.8167066,1.8469348,.99714255,.9634549,.56738186,9999,9999,.9245463,1.02226,9999,.68425095,1.1035883,9999,.93684351,.97817451,1.1421881,.92370558,.97747999,.84046024,9999,.91074222,9999,.08553897,1.060761,.68144429,1.0182455,.87630689,.61707294,.78499418,.85822209,9999,1.2685313,.82568926,1.0810707,9999,.87986761,.98296374,9999,9999,1.0016624,.54817361,.37364861,.93682212,.42208084
1998,4,"read","blk",.89512002,9999,.80567259,1.00881,.81698227,.89126199,1.2026647,.63692999,1.8642498,.92173624,.9366861,.34357241,9999,9999,.84537986,.90168005,9999,.69587159,1.257406,.35740235,1.0318357,.92612779,1.1438063,1.0486858,.83979481,.96384895,9999,.68404247,.74227083,.25955755,1.0642232,.8588348,1.0431716,.8906526,.30864624,.85976487,.97181344,.77021575,1.1645957,1.0613986,.90179163,9999,.83643156,1.2002205,.82316065,9999,.76398128,.5821209,.78465521,1.2253754,.8517952
2002,4,"read","blk",.89697593,9999,.61138141,.9930203,.83828574,.76890467,1.0159284,.78488666,1.8077487,.92893922,.78143591,.24492161,.23815562,9999,.76621342,.56475061,.62707341,.72835433,.94622767,.06879528,.97419232,.96021175,.96238029,.88179255,.88079345,.84863985,9999,.45734271,.66120887,.41041604,1.0676855,.53453851,.96647334,.97709507,.00021953,.93453556,.96097243,.68204933,1.0606601,.68559235,.88165057,9999,.79748118,1.0148776,.14028993,.25908113,.93172413,.45176661,.40681526,.8685462,.45119786
2003,4,"read","blk",.85390311,.51641035,.75630605,.94238818,.84175026,.73831534,1.1714735,.82700592,1.9181776,.90949672,.78906411,.30481064,.50026488,.99506956,.82166421,.99000382,.79736704,.58216852,1.0141803,.10997432,.91317171,.9124161,1.194152,.96428931,.91193706,.73501891,9999,.63376129,.69609094,.44813067,1.0685511,.56483841,1.0353642,.92689437,.54979628,.73195308,.70592016,.52670205,1.0695388,.80842388,.86123478,.42899987,.8949796,.7636047,.38949507,-.06780387,.79589236,.41928816,.5415163,.7793389,.29500487
2005,4,"read","blk",.90710223,.40131229,.87967831,.96305448,.87387216,.80851358,1.0373355,.90972978,1.9704835,.82316065,.83552188,.51186454,.3252148,1.1213274,.76382911,.73488647,.86915499,.56571931,.91596371,.06318991,.99889064,.87963533,1.0600483,1.0999777,.92618483,.78734326,.46168038,1.0443043,.78058952,.26978692,.98284984,.51239812,.81983757,.81920874,.00642647,1.0468955,.68654215,.65725523,.86442125,.74213845,.80152452,1.1310269,.78828305,.85642469,.61511534,.18594493,.88843739,.52241319,.39343059,1.0265476,.85022396
2007,4,"read","blk",.78229773,.63627648,.49898002,.99329907,.81800699,.76835006,1.0673562,.74864471,2.0465307,.81872338,.85052717,.44549897,.21799439,.86897653,.79082906,.65535444,.69652337,.66292417,.78739363,.14401531,.89823157,1.0058025,.90565729,.97571594,.89898199,.8394087,.22702196,1.0465825,.62488174,.48832396,.83209401,.66635174,.82956195,.8415823,.42188576,.9192732,.6814037,.772677,.99911034,.92384785,.80391705,.35031754,.9983533,.83833969,.68209296,.53497553,.71633226,.63000792,.42068043,1.0952429,.39365333
2009,4,"read","blk",.74628824,.72093731,.5299294,.75092459,.8347562,.70498556,.88807207,.78336918,1.8736649,.76319522,.78240389,.60191226,.74580735,1.0058846,.67278802,.53135121,.62196332,.81203794,.7264083,.69938779,.84618276,.86035126,.95824105,1.0155799,.85688698,.75681406,.65439731,.70819664,.62508798,.40116909,.8994571,.59395075,.7816025,.82247984,.26956198,.89094615,.81270736,.59992874,.88878864,.73555923,.81532985,.44553149,.83749211,.66236854,.68871951,.39867729,.78886968,.59625351,.35109285,1.0548421,-.02535552
2011,4,"read","blk",.82373714,.49334031,.59450299,.85110676,.62158191,.90227079,1.1156477,.66751391,1.7377714,.88424271,.72586554,.33725303,.58262777,.96686137,.75757658,.94372344,.74585062,.54648721,.78603768,.82116985,.92527026,.96651649,1.0468374,.86237806,.67618656,.77283257,.21173033,.88478994,.65231425,.51293302,.78577548,.55749273,.76538581,.85096806,.26665485,.8618378,.66726297,.53787977,.86985803,.61659825,.78644276,.62150514,.6987865,.7542547,.77889705,.5682112,.8076973,.60788542,.50238007,.90290976,.36081815
2013,4,"read","blk",.72119319,.67824739,.63020444,.70433068,.90818572,.9684208,1.0119303,.68456602,1.7422204,.79229194,.70226347,.22892079,9999,.88987255,.66425914,.74752504,.80840015,.67919463,.74864626,.92516196,1.0108353,.96783924,.79603767,.71037304,.75895584,.82313597,9999,.75667149,.72087026,.58969986,.81477571,.38654944,.67805785,.69189656,.51075834,1.0398967,.63700396,.69435829,.71635938,.8106342,.68824166,.6175189,.72529328,.7552551,9999,9999,.74230999,.56867599,.3302173,.99329746,9999
1992,4,"read","hsp",9999,9999,.73055029,9999,1.01736,.65055764,1.3765042,1.0601897,1.6831526,.47486934,.98185009,.57715988,.79255068,9999,.71815354,.48260507,9999,9999,9999,9999,.69175529,1.190767,.72856933,.88382548,9999,9999,9999,.56801599,9999,9999,1.2542213,.70542365,1.1856713,9999,9999,.45674503,.61253047,9999,1.1141531,1.2630934,9999,9999,9999,.76381338,.68949306,9999,.47220087,9999,9999,.58156461,.64845759
1994,4,"read","hsp",9999,9999,.76928061,9999,1.0579909,.83988267,1.2876288,.72631514,1.6744006,.64760935,.68990892,.69979686,.80415176,9999,.62541187,.31082869,9999,9999,.20792985,9999,.46318287,1.3354713,.72074236,.67779374,9999,9999,.37614328,.59180641,9999,9999,.99237782,.6132279,.90428632,.56962138,.28157204,.51936359,.5829127,9999,.98751098,.85253865,.55105364,9999,9999,.83211815,.64885998,9999,.37767681,.82410842,9999,.87074578,.51593888
1998,4,"read","hsp",9999,9999,1.0133066,.5689469,.97425938,.82079482,1.2308753,.54507065,1.6568966,.49406758,.47438049,.48994905,.82735392,9999,.4986513,.56182659,9999,9999,.59990132,9999,.5223794,1.1083764,.70508844,.73221338,9999,.36401889,.91791284,.57131711,.60869002,9999,.88974598,.68775725,1.1177019,.67433244,.40238449,.64460073,.52367717,.91197246,.91796809,1.3913409,.50392789,9999,-.14159229,.8647387,.97265553,9999,.76274824,.7383303,9999,.68632406,.42321372
2002,4,"read","hsp",.85595751,9999,.82685471,.57295752,.93792057,.80241647,1.0728159,.71181816,1.6620924,.53371221,.74359959,-.16304135,.85055608,9999,.37189072,.71572155,.63593131,.36191165,.19594918,9999,.82554436,1.0977798,.69968575,.78987229,9999,.43317199,.34519857,.5508278,.67685306,9999,.78711415,.57919133,.96669114,.73174924,.52319694,.76983786,.67817855,.76041478,.84842521,.89649874,.81766731,9999,.92304856,.77318305,.70890087,9999,.30170992,.68271613,9999,.5204163,.56236148
2003,4,"read","hsp",.53665942,.53477019,.8325305,.56896222,.92968529,.79782188,.91435939,.7665171,1.7981844,.51561612,.67291039,.45506662,.71205086,.84161526,.33080766,.67183387,.52917945,.29475546,.14138989,.16575323,.62931156,1.0051321,.73740679,.92250586,.58695978,.32348087,.53910291,.70373344,.71457893,.74968773,.76145619,.70722932,.88239527,.57446581,.59084922,.62172008,.61694282,.64558411,1.0195677,.81883806,.62360954,.73982882,.41194794,.67138213,.87960947,.1063244,.66687119,.71961796,9999,.47893935,.35587439
2005,4,"read","hsp",.34057564,.49004161,.84915555,.4198539,.93670934,.83146107,.95093513,.67622149,1.6965039,.40670681,.71083999,.34187981,.84706867,.91059166,.55164427,.67650187,.68093735,-.04187893,.266509,.31314787,.69608849,1.1777816,.60069138,.75487018,.28692195,.50190789,.02326175,.83093768,.70410401,.42906183,.78914219,.75202262,.7718702,.6917128,.71343744,.52894139,.48541385,.84689838,.75105739,.90140224,.27681628,.92491025,.69753516,.72834915,.80317724,.13790828,.50773907,.80138588,9999,.56955099,.68423599
2007,4,"read","hsp",.75543499,.65657061,.7486499,.68707782,.93638468,.92472142,1.0387801,.54909849,1.7087365,.45348585,.58519852,.57841736,.73578686,.71860582,.5888465,.61681163,.65343106,.35660577,.19293807,.43243521,.73856145,1.0621358,.5299198,.86096728,.52542418,.42152742,.31248534,.82175308,.74049371,.63188189,.77743649,.70531303,.83162099,.67332101,.51549315,.63379908,.69745678,.8854847,.95607245,.84845871,.57096457,.62694407,.45708206,.67488855,.7582646,.16949217,.56925255,.67591363,-.07265064,.69926202,.56074739
2009,4,"read","hsp",.70421594,.33176392,.77387553,.63632983,.94627774,.95257229,1.0454887,.64497966,1.5383493,.35242477,.62173504,.32330889,.73737365,.82903773,.71113062,.49141636,.61754453,.45778871,.43686116,.22947714,.48228955,.97966999,.57183778,1.0036699,.41912237,.36645442,.33341223,.62539279,.65062326,.36274517,.86205781,.67045337,.68085957,.75330186,.47333422,.45174065,.51093084,.76144212,.89527595,.89433765,.62450528,.30637676,.61597455,.74650198,.9457081,.36829776,.59714466,.84099185,.20386079,.74409378,.40393734
