year,Black_White_4th_Grade_Math,Hispanic_White_4th_Grade_Math,Black_White_4th_Grade_Reading,Hispanic_White_4th_Grade_Reading,Black_White_8th_Grade_Math,Hispanic_White_8th_Grade_Math,Black_White_8th_Grade_Reading,Hispanic_White_8th_Grade_Reading,Black_White_12th_Grade_Math,Hispanic_White_12th_Grade_Math,Black_White_12th_Grade_Reading,Hispanic_White_12th_Grade_Reading
1975,9999,9999,0.9859583,1.009979,9999,9999,1.08772,0.9884762,9999,9999,1.327437,1.069689
1978,0.9164445,0.5493929,0.9103279,0.8968917,1.18078,0.8954672,0.952522,0.8580224,1.18232,0.9458364,1.140716,0.8848269
1980,0.8892141,0.6048959,0.8753913,0.8376259,1.10751,0.8168083,0.8839678,0.7959254,1.088467,0.8913879,1.042583,0.7945907
1982,0.8673675,0.6499312,0.8509048,0.7897723,1.052856,0.7627124,0.8305498,0.7510571,1.020966,0.8509241,0.963171,0.7273998
1984,0.8502382,0.6851103,0.8352081,0.7520556,1.014435,0.7298452,0.7904457,0.7211297,0.9764706,0.8226092,0.9004619,0.6803755
1986,0.8371595,0.7110448,0.8266408,0.7232001,0.989863,0.7148725,0.7618334,0.7038553,0.9516324,0.8046077,0.8524362,0.6506386
1988,0.8274647,0.7283463,0.8235429,0.7019305,0.9767573,0.7144603,0.7428906,0.696946,0.9431031,0.7950838,0.8170748,0.6353105
1990,0.8204873,0.7376264,0.8242539,0.686971,0.9727346,0.7252743,0.731795,0.6981139,0.9475346,0.7922016,0.7923586,0.6315123
1992,0.8155607,0.7394965,0.8271137,0.6770463,0.9754114,0.7439805,0.7267245,0.7050713,0.9615787,0.7941256,0.7762684,0.6363651
1994,0.8120182,0.7345682,0.8304619,0.6708809,0.9824044,0.7672445,0.7258569,0.7155303,0.9818872,0.7990199,0.7667849,0.64699
1996,0.8091931,0.7234532,0.8326384,0.6671991,0.9913304,0.7917323,0.7273699,0.727203,1.005112,0.8050488,0.761889,0.6605082
1999,0.8048425,0.6965181,0.8300743,0.6635432,1.00313,0.8234652,0.730117,0.7419832,1.038093,0.8122038,0.75873,0.6799128
2004,0.7917352,0.629356,0.7964214,0.651799,0.9986984,0.8352383,0.7207841,0.7402744,1.06021,0.8037958,0.7477981,0.6859361
2008,0.7699789,0.5610871,0.7281156,0.625838,0.9520144,0.7776458,0.6843975,0.6946084,1.018204,0.7622479,0.7157799,0.6411591
2012,0.7324271,0.4851945,0.6086353,0.5740975,0.84633,0.631592,0.6065114,0.5897377,0.894115,0.6738379,0.6455752,0.5273467
